action_id,action_name,past_engagement_score,product_affinity_score,urgency_score,friction_score,segment_performance,trend_match,cost_score,seasonal_fit,score,reason_code,rank,confidence,what_would_make_wrong
A079,Action_79,0.3584657285442726,0.9367299887367345,0.7019668772577033,0.8144684825889358,0.969302535619099,0.4921162930795382,0.9694704332753689,0.7200365365460744,0.7140371037189219,R02,1,Medium,Check user context / product availability
A013,Action_13,0.8324426408004217,0.9296976523425731,0.6519612595026005,0.02535074341545751,0.9506071469375561,0.9327284833540133,0.6279003894909078,0.47157618855015837,0.7045536601116698,R01,2,Medium,Check user context / product availability
A097,Action_97,0.5227328293819941,0.7259556788702394,0.7699935530986108,0.8584127518430118,0.5836561118508721,0.6675577385210272,0.28863055324025577,0.9321182824836124,0.6619764944656042,R03,3,Medium,Check user context / product availability
A046,Action_46,0.662522284353982,0.036886947354532795,0.9283185625877254,0.6158500980522165,0.9472485773838587,0.3581627180328405,0.890527280739895,0.8995745732745685,0.648421608110473,R03,4,Medium,Check user context / product availability
A021,Action_21,0.6118528947223795,0.8074401551640625,0.6576128923003434,0.5492266647061205,0.7915790437258485,0.5941307153521351,0.18452101935637732,0.9383404568210378,0.6479083260602887,R01,5,Medium,Check user context / product availability
A074,Action_74,0.8154614284548342,0.22649577519793795,0.9132405525564713,0.6830067734163568,0.8911431136980711,0.6220867002278735,0.5245113895702547,0.39728729056036727,0.6458562616014206,R01,6,Medium,Check user context / product availability
A081,Action_81,0.8631034258755935,0.3410663510502585,0.8900053418175663,0.11816482762165625,0.6293986381352625,0.4591357562382613,0.8170720709492799,0.6939484444671,0.6290534128464483,R01,7,Medium,Check user context / product availability
A052,Action_52,0.7751328233611146,0.23956189066697242,0.38509772860192526,0.8564898411883223,0.558404249735805,0.8521815003185401,0.5371065418185478,0.9398321236134751,0.6231269332300267,R01,8,Medium,Check user context / product availability
A028,Action_28,0.5142344384136116,0.8607305832563434,0.3930977246667604,0.6117207462343522,0.8877041827582998,0.27340707193070624,0.7474709381337565,0.7952673118598902,0.6224781589628885,R02,9,Medium,Check user context / product availability
A053,Action_53,0.9394989415641891,0.1448948720912231,0.8511366715168569,0.658693631618945,0.4242220092469763,0.5519068387744855,0.5868411180208791,0.6277080530714179,0.6222416849273201,R01,10,Medium,Check user context / product availability
A036,Action_36,0.8083973481164611,0.32320293202075523,0.7224521152615053,0.040728802318970136,0.70096913145912,0.944765729882428,0.44741236682345464,0.8772005408131083,0.6196353838453394,R01,11,Medium,Check user context / product availability
A008,Action_8,0.8661761457749352,0.7555511385430487,0.6635017691080558,0.32295647294124596,0.01083765148029836,0.822537242923169,0.36426986104807546,0.8098744458546349,0.619140732727395,R01,12,Medium,Check user context / product availability
A068,Action_68,0.8021969807540397,0.18651851039985423,0.7024840839871093,0.9053506419560637,0.8685991281894603,0.43747492202372906,0.16068137325955567,0.8767656367617495,0.6186769555279084,R01,13,Medium,Check user context / product availability
A012,Action_12,0.9699098521619943,0.16122128725400442,0.6918951976926933,0.07845638134226596,0.9500619670508049,0.4182430362906189,0.7994103989090426,0.5956387406078443,0.6061304955944612,R01,14,Medium,Check user context / product availability
A089,Action_89,0.8872127425763265,0.5296505783560065,0.2865412521282844,0.7506147516408583,0.9504114840765587,0.12804583895777244,0.7694929331919369,0.4620058036441327,0.6059284042390349,R01,15,Medium,Check user context / product availability
A093,Action_93,0.7607850486168974,0.9004180571633305,0.8226005606596583,0.37201808579278317,0.2773811829811327,0.18188008439914483,0.507610378684455,0.505888678884466,0.595087643471026,R01,16,Medium,Check user context / product availability
A048,Action_48,0.5200680211778108,0.5026790232288615,0.9666548190436696,0.04530400977204452,0.7533781852589416,0.6715731955927996,0.6791023191444896,0.5435528611139886,0.5937047376646682,R03,17,Medium,Check user context / product availability
A019,Action_19,0.43194501864211576,0.8925589984899778,0.6496328990472147,0.15643704267108605,0.6725184560770384,0.9872761293149445,0.8062012797930613,0.12429722348554473,0.5923908014931695,R02,18,Medium,Check user context / product availability
A076,Action_76,0.7290071680409873,0.17436642900499144,0.5015162946871996,0.3189756302937613,0.9929647961193003,0.9495206236576421,0.9823786169086064,0.14991742734877378,0.5865595515948345,R01,19,Medium,Check user context / product availability
A075,Action_75,0.7068573438476171,0.6451727904094499,0.5113423988609378,0.07118864846022899,0.5277011090862999,0.8623637087467452,0.4103968269896615,0.7972953657795536,0.5817433130663304,R01,20,Medium,Check user context / product availability
A004,Action_4,0.5986584841970366,0.5085706911647028,0.8985541885270792,0.6374299014982066,0.8264574661077416,0.8137950197069487,0.08870253375705561,0.13441467693897424,0.5808803885940673,R03,21,Medium,Check user context / product availability
A070,Action_70,0.9868869366005173,0.5908929431882418,0.29359184426449336,0.06936130087516545,0.9632225394406113,0.34825546702330035,0.2850951686938471,0.8212573046720129,0.5787692835085074,R01,22,Medium,Check user context / product availability
A062,Action_62,0.2713490317738959,0.6323058305935795,0.9900538501042633,0.6432882184423532,0.6492103021160636,0.21296416150891073,0.9865152487929797,0.31172206779554823,0.5779937583250411,R03,23,Medium,Check user context / product availability
A051,Action_51,0.9695846277645586,0.9082658859666537,0.2944488920695857,0.5031362585800877,0.7771469159274368,0.5201635011119934,0.08692028808742369,0.11689804070836407,0.5747506426998783,R01,24,Medium,Check user context / product availability
A054,Action_54,0.8948273504276488,0.489452760277563,0.31692200515627766,0.1629344270814297,0.906354385094736,0.5609379715353863,0.74543947418433,0.3349056146570861,0.5709788721559027,R01,25,Medium,Check user context / product availability
A032,Action_32,0.17052412368729153,0.22210781047073025,0.5026370931051921,0.7578461104643691,0.7615106317174722,0.9997176732861306,0.8952068376871993,0.8145747202313821,0.5657021576125021,R07,26,Medium,Check user context / product availability
A049,Action_49,0.5467102793432796,0.05147875124998935,0.9636199770892528,0.3746126146264712,0.37625958553091576,0.5203077009037933,0.7891712386073383,0.9064721109645469,0.5582891901828488,R03,27,Medium,Check user context / product availability
A026,Action_26,0.7851759613930136,0.4271077886262563,0.24398964337908358,0.7378969166957685,0.5495288823237355,0.4686931597949703,0.3689136395697724,0.8418287767582721,0.5543859445936556,R01,28,Medium,Check user context / product availability
A096,Action_96,0.49379559636439074,0.3492095746126609,0.5222432600548044,0.9307573256035647,0.3533522280260528,0.47396164026287235,0.6106200424416326,0.8721239089441515,0.5535585590008253,R01,29,Medium,Check user context / product availability
A066,Action_66,0.5426960831582485,0.835302495589238,0.7407686177542044,0.38610263780077425,0.37487057952370406,0.5899176868546331,0.15285913918433203,0.5698896848713165,0.552313856456642,R02,30,Medium,Check user context / product availability
A092,Action_92,0.713244787222995,0.8972157579533268,0.03734818874921442,0.4126176769114265,0.6201325978015367,0.6408747448032146,0.4254364386164168,0.5862298320167972,0.5513626784649194,R01,31,Medium,Check user context / product availability
A056,Action_56,0.9218742350231168,0.2420552715115004,0.5568012624583502,0.6424192782063156,0.49262510429085915,0.40348286621239704,0.12758030279556376,0.794025189270296,0.5502166011776441,R01,32,Medium,Check user context / product availability
A042,Action_42,0.4951769101112702,0.25178229582536416,0.9539285770025874,0.4734717707805657,0.9866395785011755,0.60617463445088,0.3220791655831783,0.3013778741641421,0.5488663152944409,R03,33,Medium,Check user context / product availability
A020,Action_20,0.2912291401980419,0.5393422419156507,0.8492234104941779,0.25024289816459533,0.75237452943768,0.15041689110352818,0.7482596903836584,0.7308674752036443,0.5297468243303933,R03,34,Medium,Check user context / product availability
A002,Action_2,0.9507143064099162,0.6364104112637804,0.08413996499504883,0.531354631568148,0.9025529066795667,0.5360963663441204,0.2785903390319586,0.05182353682242691,0.5282671957654297,R01,35,Medium,Check user context / product availability
A031,Action_31,0.6075448519014384,0.417411003148779,0.7948113035416484,0.3559726786512616,0.14299168205283586,0.8129010091300776,0.7133495858845524,0.16426579793099294,0.5222903917488239,R01,36,Medium,Check user context / product availability
A039,Action_39,0.6842330265121569,0.363629602379294,0.6454722959071678,0.4741738290873252,0.7062422271564962,0.4505441353100935,0.26924323094938096,0.4391349085702184,0.5221457231527521,R01,37,Medium,Check user context / product availability
A077,Action_77,0.7712703466859457,0.690937738102466,0.7982951789667752,0.8448753109694546,0.07379656473539886,0.14707348092903794,0.11203890216805235,0.22925139523264149,0.5183425723010339,R01,38,Medium,Check user context / product availability
A090,Action_90,0.4722149251619493,0.24185229090045168,0.5908332605690108,0.806834739267264,0.8902637838909163,0.15190269351229435,0.18704374855752337,0.9472833396118153,0.5176786482367906,R09,39,Medium,Check user context / product availability
A072,Action_72,0.1987156815341724,0.016587828927856152,0.8101133946791808,0.018221825651549728,0.969878826707639,0.7836530127411431,0.8967654246264252,0.8464522917345182,0.5152454579940176,R03,40,Medium,Check user context / product availability
A044,Action_44,0.9093204020787821,0.30087830981676966,0.3701587002554444,0.43385164923797304,0.3706421470668909,0.6717006844058567,0.32749735217791465,0.5027203900924792,0.5131608542246999,R01,41,Medium,Check user context / product availability
A015,Action_15,0.18182496720710062,0.6334037565104235,0.7121792213475359,0.8359801205122058,0.6318372121697993,0.04521867010618941,0.8735786241067772,0.3488682665429953,0.5117507294639106,R03,42,Medium,Check user context / product availability
A041,Action_41,0.12203823484477883,0.9624472949421112,0.9404585843529143,0.49161587511683236,0.08483771408519192,0.9540510272587224,0.02007119777772637,0.46267978566960644,0.5111690888540177,R02,43,Medium,Check user context / product availability
A086,Action_86,0.32518332202674705,0.659984046034179,0.035942273796742086,0.8034809303848486,0.901158010490989,0.24014561877819307,0.5567628930139298,0.9084505613336283,0.5104254137801464,R02,44,Medium,Check user context / product availability
