action_id,action_name,past_engagement_score,product_affinity_score,urgency_score,friction_score,segment_performance,trend_match,cost_score,seasonal_fit,score,reason_code,rank,confidence,what_would_make_wrong
A079,Action_79,0.3584657285442726,0.9367299887367345,0.7019668772577033,0.8144684825889358,0.969302535619099,0.4921162930795382,0.9694704332753689,0.7200365365460744,0.7140371037189219,R02,1,Medium,Product is out of stock OR user showed disinterest
A013,Action_13,0.8324426408004217,0.9296976523425731,0.6519612595026005,0.02535074341545751,0.9506071469375561,0.9327284833540133,0.6279003894909078,0.47157618855015837,0.7045536601116698,R01,2,Medium,User has disengaged recently OR past data is stale
A097,Action_97,0.5227328293819941,0.7259556788702394,0.7699935530986108,0.8584127518430118,0.5836561118508721,0.6675577385210272,0.28863055324025577,0.9321182824836124,0.6619764944656042,R03,3,Medium,Offer expired OR timing is now wrong
A046,Action_46,0.662522284353982,0.036886947354532795,0.9283185625877254,0.6158500980522165,0.9472485773838587,0.3581627180328405,0.890527280739895,0.8995745732745685,0.648421608110473,R03,4,Medium,Offer expired OR timing is now wrong
A021,Action_21,0.6118528947223795,0.8074401551640625,0.6576128923003434,0.5492266647061205,0.7915790437258485,0.5941307153521351,0.18452101935637732,0.9383404568210378,0.6479083260602887,R01,5,Medium,User has disengaged recently OR past data is stale
A074,Action_74,0.8154614284548342,0.22649577519793795,0.9132405525564713,0.6830067734163568,0.8911431136980711,0.6220867002278735,0.5245113895702547,0.39728729056036727,0.6458562616014206,R01,6,Medium,User has disengaged recently OR past data is stale
A081,Action_81,0.8631034258755935,0.3410663510502585,0.8900053418175663,0.11816482762165625,0.6293986381352625,0.4591357562382613,0.8170720709492799,0.6939484444671,0.6290534128464483,R01,7,Medium,User has disengaged recently OR past data is stale
A052,Action_52,0.7751328233611146,0.23956189066697242,0.38509772860192526,0.8564898411883223,0.558404249735805,0.8521815003185401,0.5371065418185478,0.9398321236134751,0.6231269332300267,R01,8,Medium,User has disengaged recently OR past data is stale
A028,Action_28,0.5142344384136116,0.8607305832563434,0.3930977246667604,0.6117207462343522,0.8877041827582998,0.27340707193070624,0.7474709381337565,0.7952673118598902,0.6224781589628885,R02,9,Medium,Product is out of stock OR user showed disinterest
A053,Action_53,0.9394989415641891,0.1448948720912231,0.8511366715168569,0.658693631618945,0.4242220092469763,0.5519068387744855,0.5868411180208791,0.6277080530714179,0.6222416849273201,R01,10,Medium,User has disengaged recently OR past data is stale
A036,Action_36,0.8083973481164611,0.32320293202075523,0.7224521152615053,0.040728802318970136,0.70096913145912,0.944765729882428,0.44741236682345464,0.8772005408131083,0.6196353838453394,R01,11,Medium,User has disengaged recently OR past data is stale
A008,Action_8,0.8661761457749352,0.7555511385430487,0.6635017691080558,0.32295647294124596,0.01083765148029836,0.822537242923169,0.36426986104807546,0.8098744458546349,0.619140732727395,R01,12,Medium,User has disengaged recently OR past data is stale
A068,Action_68,0.8021969807540397,0.18651851039985423,0.7024840839871093,0.9053506419560637,0.8685991281894603,0.43747492202372906,0.16068137325955567,0.8767656367617495,0.6186769555279084,R01,13,Medium,User has disengaged recently OR past data is stale
A012,Action_12,0.9699098521619943,0.16122128725400442,0.6918951976926933,0.07845638134226596,0.9500619670508049,0.4182430362906189,0.7994103989090426,0.5956387406078443,0.6061304955944612,R01,14,Medium,User has disengaged recently OR past data is stale
A089,Action_89,0.8872127425763265,0.5296505783560065,0.2865412521282844,0.7506147516408583,0.9504114840765587,0.12804583895777244,0.7694929331919369,0.4620058036441327,0.6059284042390349,R01,15,Medium,User has disengaged recently OR past data is stale
A093,Action_93,0.7607850486168974,0.9004180571633305,0.8226005606596583,0.37201808579278317,0.2773811829811327,0.18188008439914483,0.507610378684455,0.505888678884466,0.595087643471026,R01,16,Medium,User has disengaged recently OR past data is stale
A048,Action_48,0.5200680211778108,0.5026790232288615,0.9666548190436696,0.04530400977204452,0.7533781852589416,0.6715731955927996,0.6791023191444896,0.5435528611139886,0.5937047376646682,R03,17,Medium,Offer expired OR timing is now wrong
A019,Action_19,0.43194501864211576,0.8925589984899778,0.6496328990472147,0.15643704267108605,0.6725184560770384,0.9872761293149445,0.8062012797930613,0.12429722348554473,0.5923908014931695,R02,18,Medium,Product is out of stock OR user showed disinterest
A076,Action_76,0.7290071680409873,0.17436642900499144,0.5015162946871996,0.3189756302937613,0.9929647961193003,0.9495206236576421,0.9823786169086064,0.14991742734877378,0.5865595515948345,R01,19,Medium,User has disengaged recently OR past data is stale
A075,Action_75,0.7068573438476171,0.6451727904094499,0.5113423988609378,0.07118864846022899,0.5277011090862999,0.8623637087467452,0.4103968269896615,0.7972953657795536,0.5817433130663304,R01,20,Medium,User has disengaged recently OR past data is stale
