page_id,position,impressions,ctr,opportunity_score,category
content_adcc7b85a04c187d,1.5597736813287095,16437,0.5814929731702866,47.48975251153407,👀 VISIBLE BUT UNDERPERFORMING - Improve Content
content_517f681c688b2b82,0.0,1,1.0,36.08878167231405,🔍 LOW VISIBILITY - Build Authority
content_e19fbcc4a068f3f5,0.0,1,1.0,36.08878167231405,🔍 LOW VISIBILITY - Build Authority
content_da24b02563010247,0.0,1,1.0,36.08878167231405,🔍 LOW VISIBILITY - Build Authority
content_48dfab4dc8dbfcbd,0.0,1,1.0,36.08878167231405,🔍 LOW VISIBILITY - Build Authority
content_eadb33b5df496f4a,2.4052731893265564,15740,0.003684879288437103,35.38041360637919,👀 VISIBLE BUT UNDERPERFORMING - Improve Content
content_9a8d489078dfbf9d,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority
content_60a217d9a45a2055,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority
content_7e3e840f55b18e02,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority
content_9a0c9fc946577ceb,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority
