page_id,position,impressions,ctr,opportunity_score,category,priority
content_adcc7b85a04c187d,1.5597736813287095,16437,0.5814929731702866,47.48975251153407,👀 VISIBLE BUT UNDERPERFORMING - Improve Content,🟡 P1 - High
content_517f681c688b2b82,0.0,1,1.0,36.08878167231405,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_e19fbcc4a068f3f5,0.0,1,1.0,36.08878167231405,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_da24b02563010247,0.0,1,1.0,36.08878167231405,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_48dfab4dc8dbfcbd,0.0,1,1.0,36.08878167231405,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_eadb33b5df496f4a,2.4052731893265564,15740,0.003684879288437103,35.38041360637919,👀 VISIBLE BUT UNDERPERFORMING - Improve Content,🟡 P1 - High
content_9a8d489078dfbf9d,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_60a217d9a45a2055,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_7e3e840f55b18e02,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_9a0c9fc946577ceb,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_f8f86225ec274e44,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_ceeee03f5ace630a,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_ef895b43b8e311b2,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_1c2ac11f14679cf1,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_010aa93476992e8c,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_4719f46c5d65fe28,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_bf804fa26b2d2dad,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_58ce5662c4577449,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_dedd83dbd9f64bf8,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_4fe763a6dd8cdc50,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_a98612c5db211eb1,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_cea465acedf7fb8b,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_55331add435a3468,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_11e36c7dff0c2d40,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_e3f3aa6ee4890c3d,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_34e04b3d8946969c,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_4bf21dfe20bab0eb,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_50aabe8c5b1de236,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_10bc08c7eda60886,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_046bd0f7d9260104,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_5d6131702b65bee6,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_170830d6a2dfa171,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_4b4df15c67dad399,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_1a3cf2950282626a,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_0b39169157516c13,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_395f7d7bdabf4233,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
content_94057c55bdcd5ede,0.0,1,1.0,35.00182515057492,🔍 LOW VISIBILITY - Build Authority,🟡 P1 - High
